kenteken;voertuigsoort;merk;handelsbenaming;vervaldatum_apk;datum_tenaamstelling;bruto_bpm;inrichting;aantal_zitplaatsen;eerste_kleur;tweede_kleur;aantal_cilinders;cilinderinhoud;massa_ledig_voertuig;toegestane_maximum_massa_voertuig;massa_rijklaar;maximum_massa_trekken_ongeremd;maximum_trekken_massa_geremd;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;catalogusprijs;wam_verzekerd;aantal_deuren;aantal_wielen;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;breedte;europese_voertuigcategorie;plaats_chassisnummer;technische_max_massa_voertuig;type;typegoedkeuringsnummer;variant;uitvoering;volgnummer_wijziging_eu_typegoedkeuring;vermogen_massarijklaar;wielbasis;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;maximum_massa_samenstelling;aantal_rolstoelplaatsen;maximum_ondersteunende_snelheid;jaar_laatste_registratie_tellerstand;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;vervaldatum_apk_dt;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;zuinigheidsclassificatie;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;maximale_constructiesnelheid;hoogte_voertuig;type_gasinstallatie;maximum_last_onder_de_vooras_sen_tezamen_koppeling;registratie_datum_goedkeuring_afschrijvingsmoment_bpm;registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt;laadvermogen;aanhangwagen_autonoom_geremd;vervaldatum_tachograaf;vervaldatum_tachograaf_dt;oplegger_geremd;aanhangwagen_middenas_geremd;verticale_belasting_koppelpunt_getrokken_voertuig;afwijkende_maximum_snelheid;hoogte_voertuig_minimum;hoogte_voertuig_maximum;subcategorie_nederland
5ZJF47;Personenauto;VOLVO;V60;20230202;20200828;3584;stationwagen;5;BLAUW;Niet geregistreerd;4;1969;1471;2170;1571;750;1750;20150202;20150202;Geen verstrekking in Open Data;49154;Ja;5;4;0;0;464;0;M1;r. bodemplaat by voorzitting;2170;F;e9*2007/46*0023*19;FW73;FW7381??;1;0.08;278;Nee;Nee;Nee;3920;0;0;2021;Logisch;00;Ja;2023-02-02T00:00:00.000;2020-08-28T00:00:00.000;2015-02-02T00:00:00.000;2015-02-02T00:00:00.000;A;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;
GX634X;Personenauto;VOLVO;XC70;20221220;20211222;14553;stationwagen;5;BLAUW;Niet geregistreerd;5;2400;1713;2400;1813;750;2100;20150922;20150922;Geen verstrekking in Open Data;69775;Ja;5;4;0;0;484;0;M1;in bodemplaat r. v.;2400;B;e9*2001/116*0065*28;BZ97;BZ97C6??;0;0.09;282;Nee;Nee;Nee;4500;0;0;2021;Logisch;00;Ja;2022-12-20T00:00:00.000;2021-12-22T00:00:00.000;2015-09-22T00:00:00.000;2015-09-22T00:00:00.000;E;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;
TZB87T;Land- of bosbouwtrekker;VOLVO;ONBEKEND;;20211222;;Niet geregistreerd;;N.v.t.;N.v.t.;;;;;;;;20040630;20211222;Geen verstrekking in Open Data;;Nee;;;;;;;C;;;;;;;;0;;Nee;Nee;Nee;;;;;Niet geregistreerd;NG;Ja;;2021-12-22T00:00:00.000;2004-06-30T00:00:00.000;2021-12-22T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;
HL988D;Personenauto;VOLVO;XC90 T8 TWIN ENGINE;20231213;20211217;469;MPV;7;ZWART;Niet geregistreerd;4;1969;2221;3010;2321;750;2400;20151127;20151127;Geen verstrekking in Open Data;88695;Ja;5;4;0;0;495;0;M1;in bodemplaat r. v.;3010;L;e4*2007/46*0929*02;LFBA;LFBABD??;0;0.01;298;Nee;Nee;Nee;5410;0;0;2021;Logisch;00;Ja;2023-12-13T00:00:00.000;2021-12-17T00:00:00.000;2015-11-27T00:00:00.000;2015-11-27T00:00:00.000;A;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;
48SZNG;Personenauto;VOLVO;V70;20230115;20191115;11376;stationwagen;5;ZWART;Niet geregistreerd;5;2435;1498;2130;1598;750;1800;20060623;20060623;Geen verstrekking in Open Data;45589;Ja;4;4;0;0;472;0;M1;midden tegen schutbord onder motorkap;2130;;e4*2001/116*0040*15;SW65;SW6549??;0;0.06;276;Nee;Nee;Nee;3930;0;;2021;Logisch;00;Ja;2023-01-15T00:00:00.000;2019-11-15T00:00:00.000;2006-06-23T00:00:00.000;2006-06-23T00:00:00.000;E;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;
K807KS;Personenauto;VOLVO;XC40;20250119;20220518;1978;stationwagen;5;GRIJS;Niet geregistreerd;3;1477;1712;2290;1812;750;1800;20210119;20210119;Geen verstrekking in Open Data;51647;Ja;5;4;0;0;443;187;M1;;2290;X;e9*2007/46*3146*09;XZBW;XZBWVF0?;0;0.05;270;Nee;Nee;Nee;4090;0;0;2022;Logisch;00;Ja;2025-01-19T00:00:00.000;2022-05-18T00:00:00.000;2021-01-19T00:00:00.000;2021-01-19T00:00:00.000;A;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;180;163;;;;;;;;;;;;;;;
38TLDF;Personenauto;VOLVO;XC90;20230119;20211123;28772;MPV;7;BLAUW;Niet geregistreerd;8;4414;2083;2800;2183;750;2250;20061104;20061104;Geen verstrekking in Open Data;107364;Ja;4;4;0;0;481;0;M1;midden tegen schutbord onder motorkap;2800;;e9*2001/116*0046*11;CT85;CT8556??;0;0.11;286;Nee;Nee;Nee;5050;0;;2021;Logisch;00;Ja;2023-01-19T00:00:00.000;2021-11-23T00:00:00.000;2006-11-04T00:00:00.000;2006-11-04T00:00:00.000;G;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;
NN870B;Personenauto;VOLVO;XC90;20230330;20170303;19308;MPV;7;BLAUW;Niet geregistreerd;5;2500;2147;2725;2247;750;2250;20050618;20170303;Geen verstrekking in Open Data;;Ja;4;4;;;;;M1;r. schutbord;2725;;;;;;0.07;286;Nee;Nee;Nee;;;;2022;Onlogisch;04;Ja;2023-03-30T00:00:00.000;2017-03-03T00:00:00.000;2005-06-18T00:00:00.000;2017-03-03T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;
KZ516N;Personenauto;VOLVO;XC60;20240421;20220423;9066;stationwagen;5;WIT;Niet geregistreerd;4;1969;1617;2505;1717;750;1600;20170125;20170125;Geen verstrekking in Open Data;54674;Ja;5;4;0;0;464;0;M1;in bodemplaat r. v.;2505;D;e9*2001/116*0068*24;DZ40;DZ40LD??;1;0.1;277;Nee;Nee;Nee;4105;0;0;2022;Logisch;00;Ja;2024-04-21T00:00:00.000;2022-04-23T00:00:00.000;2017-01-25T00:00:00.000;2017-01-25T00:00:00.000;D;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;
K889JD;Personenauto;VOLVO;XC40;20241230;20201230;;stationwagen;5;ORANJE;Niet geregistreerd;;;2088;2650;2188;750;1500;20201230;20201230;Geen verstrekking in Open Data;60964;Ja;5;4;0;0;443;187;M1;;2650;X;e9*2007/46*3146*09;XZED;XZEDVE0?;0;0.04;270;Nee;Nee;Nee;4150;0;0;2022;Logisch;00;Ja;2024-12-30T00:00:00.000;2020-12-30T00:00:00.000;2020-12-30T00:00:00.000;2020-12-30T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;180;163;;;;;;;;;;;;;;;
