date;temperature;description
2022-08-05 15:00:00;20.67;scattered clouds
2022-08-05 18:00:00;19.47;scattered clouds
2022-08-05 21:00:00;15.76;few clouds
2022-08-06 00:00:00;12.51;clear sky
2022-08-06 03:00:00;12.21;clear sky
2022-08-06 06:00:00;15.06;clear sky
2022-08-06 09:00:00;19.3;clear sky
2022-08-06 12:00:00;21.04;few clouds
2022-08-06 15:00:00;20.33;broken clouds
2022-08-06 18:00:00;18.54;scattered clouds
2022-08-06 21:00:00;13.9;few clouds
2022-08-07 00:00:00;12.75;broken clouds
2022-08-07 03:00:00;11.71;scattered clouds
2022-08-07 06:00:00;14.53;broken clouds
2022-08-07 09:00:00;19.68;clear sky
2022-08-07 12:00:00;22.29;clear sky
2022-08-07 15:00:00;21.46;broken clouds
2022-08-07 18:00:00;19.4;broken clouds
2022-08-07 21:00:00;14.52;clear sky
2022-08-08 00:00:00;13.77;scattered clouds
2022-08-08 03:00:00;12.88;overcast clouds
2022-08-08 06:00:00;15.19;overcast clouds
2022-08-08 09:00:00;20.36;broken clouds
2022-08-08 12:00:00;23.31;broken clouds
2022-08-08 15:00:00;24.34;few clouds
2022-08-08 18:00:00;20.72;few clouds
2022-08-08 21:00:00;17.67;few clouds
2022-08-09 00:00:00;15.58;clear sky
2022-08-09 03:00:00;14.17;clear sky
2022-08-09 06:00:00;16.5;clear sky
2022-08-09 09:00:00;22.42;clear sky
2022-08-09 12:00:00;25.98;clear sky
2022-08-09 15:00:00;27.03;clear sky
2022-08-09 18:00:00;23.16;clear sky
2022-08-09 21:00:00;18.59;scattered clouds
2022-08-10 00:00:00;16.99;scattered clouds
2022-08-10 03:00:00;15.85;broken clouds
2022-08-10 06:00:00;18.26;broken clouds
2022-08-10 09:00:00;24.86;broken clouds
2022-08-10 12:00:00;28.36;broken clouds
