date;temperature;description
2022-08-05 15:00:00;35.54;clear sky
2022-08-05 18:00:00;33.51;clear sky
2022-08-05 21:00:00;27.4;light rain
2022-08-06 00:00:00;21.87;clear sky
2022-08-06 03:00:00;21.11;clear sky
2022-08-06 06:00:00;25.56;clear sky
2022-08-06 09:00:00;33.21;light rain
2022-08-06 12:00:00;37.33;clear sky
2022-08-06 15:00:00;30.93;light rain
2022-08-06 18:00:00;22.78;light rain
2022-08-06 21:00:00;20.42;light rain
2022-08-07 00:00:00;20.22;light rain
2022-08-07 03:00:00;19.8;moderate rain
2022-08-07 06:00:00;22.19;light rain
2022-08-07 09:00:00;28.85;scattered clouds
2022-08-07 12:00:00;32.5;broken clouds
2022-08-07 15:00:00;33.36;broken clouds
2022-08-07 18:00:00;26.12;light rain
2022-08-07 21:00:00;21.42;light rain
2022-08-08 00:00:00;20.49;light rain
2022-08-08 03:00:00;20.28;light rain
2022-08-08 06:00:00;20.1;light rain
2022-08-08 09:00:00;22.67;light rain
2022-08-08 12:00:00;30.12;broken clouds
2022-08-08 15:00:00;30.05;few clouds
2022-08-08 18:00:00;25.96;light rain
2022-08-08 21:00:00;19.8;light rain
2022-08-09 00:00:00;19.38;light rain
2022-08-09 03:00:00;18.84;overcast clouds
2022-08-09 06:00:00;21.19;broken clouds
2022-08-09 09:00:00;27.68;scattered clouds
2022-08-09 12:00:00;31.0;scattered clouds
2022-08-09 15:00:00;30.71;scattered clouds
2022-08-09 18:00:00;23.12;light rain
2022-08-09 21:00:00;19.71;light rain
2022-08-10 00:00:00;18.94;broken clouds
2022-08-10 03:00:00;17.97;light rain
2022-08-10 06:00:00;20.64;broken clouds
2022-08-10 09:00:00;27.75;light rain
2022-08-10 12:00:00;32.12;broken clouds
