date;temperature;description
2022-08-05 15:00:00;22.77;broken clouds
2022-08-05 18:00:00;21.74;broken clouds
2022-08-05 21:00:00;16.54;scattered clouds
2022-08-06 00:00:00;11.14;clear sky
2022-08-06 03:00:00;10.68;scattered clouds
2022-08-06 06:00:00;13.41;broken clouds
2022-08-06 09:00:00;18.75;overcast clouds
2022-08-06 12:00:00;22.6;overcast clouds
2022-08-06 15:00:00;24.1;overcast clouds
2022-08-06 18:00:00;21.68;broken clouds
2022-08-06 21:00:00;14.48;clear sky
2022-08-07 00:00:00;12.52;clear sky
2022-08-07 03:00:00;11.07;scattered clouds
2022-08-07 06:00:00;13.67;scattered clouds
2022-08-07 09:00:00;20.5;scattered clouds
2022-08-07 12:00:00;24.28;few clouds
2022-08-07 15:00:00;25.62;clear sky
2022-08-07 18:00:00;22.23;scattered clouds
2022-08-07 21:00:00;15.51;few clouds
2022-08-08 00:00:00;13.51;few clouds
2022-08-08 03:00:00;12.11;overcast clouds
2022-08-08 06:00:00;14.62;broken clouds
2022-08-08 09:00:00;22.28;broken clouds
2022-08-08 12:00:00;26.46;broken clouds
2022-08-08 15:00:00;27.81;broken clouds
2022-08-08 18:00:00;25.69;broken clouds
2022-08-08 21:00:00;17.41;scattered clouds
2022-08-09 00:00:00;16.05;few clouds
2022-08-09 03:00:00;13.63;clear sky
2022-08-09 06:00:00;16.45;clear sky
2022-08-09 09:00:00;25.33;clear sky
2022-08-09 12:00:00;29.83;clear sky
2022-08-09 15:00:00;31.05;clear sky
2022-08-09 18:00:00;28.85;clear sky
2022-08-09 21:00:00;19.77;clear sky
2022-08-10 00:00:00;17.54;clear sky
2022-08-10 03:00:00;15.62;clear sky
2022-08-10 06:00:00;18.75;few clouds
2022-08-10 09:00:00;27.37;scattered clouds
2022-08-10 12:00:00;30.82;broken clouds
