date;temperature;description
2022-08-05 15:00:00;22.26;light rain
2022-08-05 18:00:00;21.23;broken clouds
2022-08-05 21:00:00;15.89;few clouds
2022-08-06 00:00:00;10.61;clear sky
2022-08-06 03:00:00;9.56;clear sky
2022-08-06 06:00:00;13.24;clear sky
2022-08-06 09:00:00;18.84;few clouds
2022-08-06 12:00:00;22.09;few clouds
2022-08-06 15:00:00;23.2;scattered clouds
2022-08-06 18:00:00;20.31;scattered clouds
2022-08-06 21:00:00;12.98;clear sky
2022-08-07 00:00:00;11.05;few clouds
2022-08-07 03:00:00;10.24;scattered clouds
2022-08-07 06:00:00;13.71;scattered clouds
2022-08-07 09:00:00;19.43;broken clouds
2022-08-07 12:00:00;23.02;scattered clouds
2022-08-07 15:00:00;24.33;few clouds
2022-08-07 18:00:00;21.66;broken clouds
2022-08-07 21:00:00;14.61;broken clouds
2022-08-08 00:00:00;11.92;scattered clouds
2022-08-08 03:00:00;11.21;broken clouds
2022-08-08 06:00:00;14.46;overcast clouds
2022-08-08 09:00:00;21.36;scattered clouds
2022-08-08 12:00:00;25.19;broken clouds
2022-08-08 15:00:00;26.71;broken clouds
2022-08-08 18:00:00;24.26;broken clouds
2022-08-08 21:00:00;16.72;few clouds
2022-08-09 00:00:00;13.13;few clouds
2022-08-09 03:00:00;12.55;few clouds
2022-08-09 06:00:00;16.38;few clouds
2022-08-09 09:00:00;24.69;clear sky
2022-08-09 12:00:00;28.76;clear sky
2022-08-09 15:00:00;30.1;clear sky
2022-08-09 18:00:00;27.46;clear sky
2022-08-09 21:00:00;18.48;clear sky
2022-08-10 00:00:00;15.51;clear sky
2022-08-10 03:00:00;14.92;clear sky
2022-08-10 06:00:00;19.22;clear sky
2022-08-10 09:00:00;27.56;scattered clouds
2022-08-10 12:00:00;30.38;broken clouds
