date;temperature;description
2022-08-05 15:00:00;22.13;overcast clouds
2022-08-05 18:00:00;20.77;broken clouds
2022-08-05 21:00:00;15.4;scattered clouds
2022-08-06 00:00:00;10.87;clear sky
2022-08-06 03:00:00;10.43;clear sky
2022-08-06 06:00:00;14.46;clear sky
2022-08-06 09:00:00;19.56;broken clouds
2022-08-06 12:00:00;22.68;scattered clouds
2022-08-06 15:00:00;22.61;scattered clouds
2022-08-06 18:00:00;19.18;scattered clouds
2022-08-06 21:00:00;12.81;clear sky
2022-08-07 00:00:00;11.07;few clouds
2022-08-07 03:00:00;10.11;overcast clouds
2022-08-07 06:00:00;13.72;broken clouds
2022-08-07 09:00:00;19.95;scattered clouds
2022-08-07 12:00:00;23.52;few clouds
2022-08-07 15:00:00;23.08;broken clouds
2022-08-07 18:00:00;19.27;broken clouds
2022-08-07 21:00:00;13.78;clear sky
2022-08-08 00:00:00;12.01;scattered clouds
2022-08-08 03:00:00;11.38;overcast clouds
2022-08-08 06:00:00;14.31;overcast clouds
2022-08-08 09:00:00;21.47;overcast clouds
2022-08-08 12:00:00;25.51;broken clouds
2022-08-08 15:00:00;26.68;scattered clouds
2022-08-08 18:00:00;22.02;scattered clouds
2022-08-08 21:00:00;17.34;clear sky
2022-08-09 00:00:00;13.42;clear sky
2022-08-09 03:00:00;12.43;clear sky
2022-08-09 06:00:00;15.78;clear sky
2022-08-09 09:00:00;24.4;clear sky
2022-08-09 12:00:00;28.74;clear sky
2022-08-09 15:00:00;29.13;clear sky
2022-08-09 18:00:00;24.69;clear sky
2022-08-09 21:00:00;19.01;broken clouds
2022-08-10 00:00:00;15.54;broken clouds
2022-08-10 03:00:00;14.56;scattered clouds
2022-08-10 06:00:00;17.3;scattered clouds
2022-08-10 09:00:00;25.43;overcast clouds
2022-08-10 12:00:00;30.2;broken clouds
